dataset,stat,mean,std,n_architectures,ddof
CIFAR-10,Max,97.51777777777778,0.099972218363124,9,1
CIFAR-10,Mean,97.4774074074074,0.09240276838352045,9,1
CIFAR-10,Min,97.4311111111111,0.08328331832432627,9,1
CIFAR-100,Max,86.28,0.2180596248735657,9,1
CIFAR-100,Mean,86.16148148148147,0.16636732377408733,9,1
CIFAR-100,Min,86.06777777777778,0.17448336437736262,9,1
Aircraft,Max,82.11821182118211,0.4282658992985341,9,1
Aircraft,Mean,81.81595937371515,0.4900433353665038,9,1
Aircraft,Min,81.50815081508152,0.6732314933188376,9,1
Oxford-IIIT Pets,Max,95.41128143472598,0.3357124722526088,9,1
Oxford-IIIT Pets,Mean,95.18084360284541,0.2758875826673529,9,1
Oxford-IIIT Pets,Min,94.93036769862738,0.3739060806920566,9,1
